Index,Title,Content
17,Saint-Rogatien,SaintRogatien Frantziako udalerria da Itsas Charente departamenduan dagoena PoitouCharentes eskualdean 2013an 1802 biztanle zituen  Demografia   Biztanleria  2007an SaintRogatien udalerrian erroldatutako biztanleak 1802 ziren Familiak 644 ziren horien artean 108 pertsona bakarrekoak ziren 32 bakarrik bizi ziren gizonak eta 76 bakarrik bizi ziren emakumeak 200 semealabarik gabeko familiak ziren 308 semealabak dituzten bikoteak ziren eta 28 semealabak dituzten gurasobakarreko familiak ziren Biztanleriak denboran ondorengo grafikoan ageri den bilakaera izan du Ikus jatorrizko Wikidatako eskaera eta iturriak  Etxebizitza  2007an 679 etxebizitza zeuden 652 familiaren etxebizitza nagusia ziren 13 bigarren erresidentzia ziren eta 14 hutsik zeuden 659 etxeak ziren eta 19 apartamentuak ziren 652 etxebizitza nagusietatik 507 bere jabearen bizilekua ziren 142 alokairuan okupaturik zeuden eta 3 doan lagata zeuden 3 etxek gela bat zuten 21 etxek bi zituzten 65 etxek hiru zituzten 220 etxek lau zituzten eta 343 etxek bost zituzten 547 etxek euren parking plaza propioa zuten azpian 290 etxetan ibilgailu bat zegoen eta 339 etxetan bat baino gehiago zituzten  Biztanleriapiramidea  2009an sexu eta adinaren araberako biztanleriapiramidea hau zen  Ekonomia  2007an lan egiteko adina zuten pertsonak 1251 ziren horien artean 965 aktiboak ziren eta 286 inaktiboak ziren 965 pertsona aktiboetatik 893 lanean zeuden 463 gizon eta 430 emakume eta 72 langabezian zeuden 29 gizon eta 43 emakume 286 pertsona inaktiboetatik 82 erretiraturik zeuden 127 ikasten zeuden eta 77 bestelako inaktibo gisa sailkaturik zeuden  Diru sarrerak  2009an SaintRogatien udalerrian 712 unitate fiskal zeuden 18905 pertsonek osaturik Pertsona bakoitzeko dirusarrera fiskalaren mediana urteko 20270 euro zen  Ekonomia jarduerak  2007an zeuden 57 komertzioetatik 1 janari enpresa zen 3 bestelako produktu industrialen fabrikazioko enpresak ziren 17 eraikuntza enpresak ziren 7 ibilgailuen saltze eta konpontze enpresak ziren 2 garraio enpresak ziren 1 ostalaritza eta jatetxe enpresa zen 1 informazio eta komunikazio enpresa zen 3 finantziazio enpresak ziren 2 higiezinen enpresak ziren 4 zerbitzu enpresak ziren 12 administrazio publikoko enpresak ziren eta 4 beste zerbitzu jarduera batzuk multzoan sailkatutako enpresak ziren2009an zeuden norbanakoentzako 18 zerbitzu publikoetatik 1 posta bulegoa zen 2 igeltseroak 3 margolariak 4 zurginak 3 iturginak 2 argiketariak 1 eraikuntza enpresa eta 2 ile apaindegiak2009an zeuden 3 establezimendu komertzialetatik 1 120 m2 baino gutxiagoko denda zen 1 okindegi zen eta 1 etxerako tresna denda zen2000 urtean SaintRogatien udalerrian 4 nekazaritzaustiategi zeuden  Hezkuntza eta osasun ekipamenduak  2009an zegoen osasunekipamendu bakarra botika zen 2009an haureskola 1 eta lehenhezkuntzako eskola 1 zegoen  Gertuen dauden herriak  Diagrama honek gertuen dauden herriak erakusten ditu  Erreferentziak   Kanpo estekak  FrantsesezRésumé statistique INSEEren udalerriko estatistiken laburpena FrantsesezÉvolution et structure de la population INSEEren udalerriko datuen fitxa FrantsesezFrance par comune Frantziako udalerri guztietako datu zehatzak mapa baten bitartez eskuragarri
18,Muldrow (Oklahoma),Muldrow Oklahomako herri bat da Sequoyah konderrian kokatua dago 2010ean 3466 biztanle zituen 1117 kilometro koadrotan banatuta  Ikus gainera  Sequoyah konderria  Kanpo estekak 
19,Ottawa konderria (Oklahoma),Ottawa konderria ingelesez Ottawa County Oklahomako konderri bat da Ameriketako Estatu Batuetan Hiriburua Miami da 2010eko zentsuaren arabera 31848 biztanle zituen Ottawa kilometro koadroko azaleran  Geografia  Ottawa konderriak 125513 kilometro koadro ditu Horietatik 3571 ura dira Beste 121942 lurra dira Biztanleria dentsitatea 2537 da  Demografia  2010eko zentsoan bizi ziren 31848 pertsonetatik 22953 txuriak edo hispanoak dira Horietatik hispano edo latino kategorian 1499 dira 234 beltzak edo afroamerikarrak 5893 amerikar natiboak ziren eta 297 Hawaii edo Pazifikoko irletako natiboak 158 asiarrak ziren Bestelako arraza bat kategorian 30 biztanle daude Bukatzeko euren burua arraza bat baino gehiagotan 2283 pertsonek kokatzen zuten  Biztanleria piramidea   Kanpo estekak 
20,Astigarreta (Beasain),Astigarreta Beasaingo auzo bat da 2007ko urtarrilaren 1eko erroldaren arabera auzoak 13 biztanle zituen  Ondarea  San Martin Tourskoaren eliza Gaur egungo parrokia San Gregorio Magnoren baseliza Antzinako Astigarretako parrokia Trikuaizti I eta II tumuluak Neolito eta Eneolito arokoakBestalde hilerria eskola eta ostatua ere baditu  Demografia eta biztanleria   Historia  1615 urte arte Segurako hiribilduaren menpe egon zen 16151929 urteetan udalerri beregaina izan zen 1929 urtean Beasaini lotu zitzaion  Astigarretarrak  Plazida Insausti  Kanpo estekak 
21,Remilly-sur-Lozon,RemillysurLozon Frantziako udalerria da Mantxa departamenduan dagoena Normandia eskualdean 2013an 656 biztanle zituen  Demografia   Biztanleria  2007an RemillysurLozon udalerrian erroldatutako biztanleak 656 ziren Familiak 258 ziren horien artean 73 pertsona bakarrekoak ziren 17 bakarrik bizi ziren gizonak eta 56 bakarrik bizi ziren emakumeak 73 semealabarik gabeko familiak ziren 86 semealabak dituzten bikoteak ziren eta 26 semealabak dituzten gurasobakarreko familiak ziren Biztanleriak denboran ondorengo grafikoan ageri den bilakaera izan du Ikus jatorrizko Wikidatako eskaera eta iturriak  Etxebizitza  2007an 302 etxebizitza zeuden 260 familiaren etxebizitza nagusia ziren 29 bigarren erresidentzia ziren eta 13 hutsik zeuden 298 etxeak ziren eta 2 apartamentuak ziren 260 etxebizitza nagusietatik 188 bere jabearen bizilekua ziren 70 alokairuan okupaturik zeuden eta 2 doan lagata zeuden 1ek gela bat zuen 5 etxek bi zituzten 41 etxek hiru zituzten 80 etxek lau zituzten eta 133 etxek bost zituzten 203 etxek euren parking plaza propioa zuten azpian 129 etxetan ibilgailu bat zegoen eta 89 etxetan bat baino gehiago zituzten  Biztanleriapiramidea  2009an sexu eta adinaren araberako biztanleriapiramidea hau zen  Ekonomia  2007an lan egiteko adina zuten pertsonak 368 ziren horien artean 255 aktiboak ziren eta 113 inaktiboak ziren 255 pertsona aktiboetatik 226 lanean zeuden 125 gizon eta 101 emakume eta 29 langabezian zeuden 13 gizon eta 16 emakume 113 pertsona inaktiboetatik 40 erretiraturik zeuden 28 ikasten zeuden eta 45 bestelako inaktibo gisa sailkaturik zeuden  Diru sarrerak  2009an RemillysurLozon udalerrian 265 unitate fiskal zeuden 650 pertsonek osaturik Pertsona bakoitzeko dirusarrera fiskalaren mediana urteko 134415 euro zen  Ekonomia jarduerak  2007an zeuden 35 komertzioetatik 1 janari enpresa zen 2 bestelako produktu industrialen fabrikazioko enpresak ziren 6 eraikuntza enpresak ziren 9 ibilgailuen saltze eta konpontze enpresak ziren 3 garraio enpresak ziren 2 finantziazio enpresak ziren 1 higiezinen enpresa zen 1 zerbitzu enpresa zen 5 administrazio publikoko enpresak ziren eta 5 beste zerbitzu jarduera batzuk multzoan sailkatutako enpresak ziren2009an zeuden norbanakoentzako 10 zerbitzu publikoetatik 1 posta bulegoa zen 1 banku bulegoa 2 ibilgailuen konpontzeko eta nekazaritza tresnetako lantokiak 1 igeltseroa 2 iturginak eta 3 ile apaindegiak2009an zeuden 4 establezimendu komertzialetatik 2 120 m2 baino gutxiagoko dendak 1 okindegi zen eta 1 harategia zen2000 urtean RemillysurLozon udalerrian 34 nekazaritzaustiategi zeuden 520 hektarea erabiltzen  Hezkuntza eta osasun ekipamenduak  2009an zegoen osasunekipamendu bakarra botika zen 2009an inguruko herriekin osatutako barreiatutako lehenhezkuntzako eskola bat zegoen  Gertuen dauden herriak  Diagrama honek gertuen dauden herriak erakusten ditu  Erreferentziak   Kanpo estekak  FrantsesezRésumé statistique INSEEren udalerriko estatistiken laburpena FrantsesezÉvolution et structure de la population INSEEren udalerriko datuen fitxa FrantsesezFrance par comune Frantziako udalerri guztietako datu zehatzak mapa baten bitartez eskuragarri
22,Seddiner See,Seddiner See Alemaniako udalerria da Brandenburgo estatuan kokatuta dago PotsdamMittelmark barrutian 2014an 3991 biztanle zituen 2398 kilometro koadrotan banatuta  Demografia  Ikus jatorrizko Wikidatako eskaera eta iturriak  Kanpo estekak  Webgune ofiziala
23,Mehmed V.a,Mehmed Va 1844ko azaroaren 2a  1918ko uztailaren 3a Otomandar Inperioko sultana izan zen Mohammed Va Mehmed Va Reşad Reşat edo Reshid Effendi izenez ere ezaguna 39 sultan otomandarra izan zen AbdulMejid Iaren eta Gulcemal Kadin Efandiren semea 1909ko apirilaren 27an hartu zuen tronua baina Enver Pasha Mehmet Talat eta Ahmet Cemal bezalako politikarien eragina izan zuenez bere erregealdian botere politiko gutxi izan zuen Mehmed Vak Otomandar Inperioa Lehen Mundu Gerran sartu zenean Jihada edo gerra santua aldarrikatu zuen Britainiar Inperioaaren kontra 1914ko azaroan 73 urterekin hil zen 1918an  Erreferentziak 
24,Gap-2 kantonamendua,Gap2 kantonamendua Frantziako kantonamendu bat da Alpe Garaiak departamenduan dago ProventzaAlpeakKosta Urdina eskualdean Guztira 1 udalerri ditu eta Gap da bere hiriburua  Erreferentziak   Kanpo estekak 
25,Altzagako artea,Altzagako artea Gipuzkoako Altzaga udalerriaren herrigunean dagoen arte zuhaitz nabarmen bat da Goierri eskualdean San Migel elizaren atarian dago Ale honek 36 metroko zirkunferentzia eta 16 metroko altuer dauka bere enborra oso lodia izanik Bere adina 2021ean 120 urte ingurukoa zen XIX mendearen amaieraldekoa eta aurrez toki berean zegoen eta 300 urtera iritsitako beste arte zahar bat ordezkatu zuen
26,Atropina,Atropina C17H23NO3 hainbat landare solanazeoren sustrai eta hostoetan belaikiarenetan batez ere azaltzen den alkaloide pozoitsua da 118 Can urtzen da eta berehala lurrintzen da beroarekin Alkoholetan eta eterrean ondo urtzen da eta ez hain ondo uretan Medikuntzan hainbat erabilera ditu begi azterketetan begininia zabaltzeko urdail giharrak baretzeko bihotz taupadak azkartzeko morfinaren antidoto bezala Herri sendagintzan betidanik erabili izan dira atropina duten landareak belaikia eta asmabelarra batez ere  Erreferentziak   Kanpo estekak 
27,Agrocybe arvalis,Agrocybe arvalis Strophariaceae familiako onddo espezie bat da  Deskribapena  Kapela 10 eta 30 mm bitarteko diametrokoa hasieran hemisferikotik konikora gero ganbila edo laua Gainazala higrofanoa da arreokre antzeko kolore ilunekoa koipetsua eguraldi hezean beixa lehor dagoenean ertza biribilduta denbora dezentez Orriak Goranzkoak finfin itsatsiak zabalak beix zurbilak gaztetan eta gero tonu marroigorrixkak hartzen dituzte Hanka 40 eta 70 mm bitarteko garaierakoa eta 2 eta 4 mm inguruko diametrokoa zilindrikoa eraztun elastikorik gabe zurixkatik beixera doan koloreko gainazalarekin pixka bat pruinaduna luzetara  fibrilosoa errizoide zurixkekin oinarrian eta azalean esklerozio globoitxura antzeko beltzaxka batekin baina barrutik zurixka Haragia ZurbilaEtimologia Agrocybe hitza grekotik datorren hitz konposatua da landa eta burua zelai burua esan nahi du  Jangarritasuna  Interes gastronomikorik gabea  Sasoia eta lekua  Udan eta udazkenean Larreetan eta zelaietan  Banaketa eremua  Kanada Ameriketako Estatu Batuak Mexiko Europa Errusia Japonia Australia  Erreferentziak   Kanpo estekak 
28,John Millington Synge,John Millington Synge 1871ko apirilaren 16a  1909ko martxoaren 24a irlandar idazle olerkari antzerkigile eta folklore biltzailea izan zen Irlandar Literaturako Berpizkundearen oinarrizko pertsonaia da eta Dublingo Abbey Theatre antzerkiaren sortzaileetako bat Batik bat bere Mendebaldeko Playboya edo The Playboy of the Western World antzezlanarengatik da ezagunen hau Abbey Theatren estreinekoz antzerkiratzean Dublingo kaleetan sekulako iskanbilak sortu zirelarik  Lanak  In the Shadow of the Glen 1903 Riders to the Sea 1904 The Well of the Saints 1905 The Aran Islands 1907 The Playboy of the Western World 1907 The Tinkers Wedding 1908 Poems and Translations 1909 Deirdre of the Sorrows 1910 In Wicklow and West Kerry 1912 Collected Works of John MillingtonNahiz eta bere jatorria erdi maila protestantean izan Syngeren idazlanek nagusiki baserritar giroko Irlandako nekazari katolikoei buruzko gaiak jorratzen dituzte bai eta berak munduarekiko zuen funtsezko paganismoa oinarritzat zuen ikuspuntuari buruz  Kanpo estekak 
29,Yellowstone (ibaia),Yellowstone ibaia Mendi Haritsuetan AEB jaiotzen den Missouri ibaiko ibaiadarra da izen bereko parkearen eremuan 1080 km luze da Montanako eta Wyomineko mendebaldeko zatia drainatzen du Ibaia bakarra AEBetako 48 estatu jarraietan Alaska eta Hawai salbu alegia ez dagoena bere bidean inon egokitua Inguruko amerindiarren hizkuntzetan Wapiti oreinen ibaia izenarekin ezagutua zen tradizionalki Lehen kolonizatzailea ibaia deskribatzen Lewis eta Clark espediziokoak izan ziren 1806 urtean  Urjauziak  Ibaiak Yellowstone aintzira uzten duenean bi urjauzi ditu Yelloswstoneko urjauziak Upper Falls edo Goiko urjauzia lehenbizi 33 metrokoa eta handiagoa gero Lower Falls edo Beheko urjauzia 94 metro ondoren arroila handi batean barneratzen da ibaia Yellowstoneko Kanoi Handia edo Grand Canyon of the Yellowstone delakoa Eta arroila hori uztean beste urjauzi nabarmen bat dago Tower Falls delakoa 40 metrokoa  Erreferentziak   Kanpo estekak 
30,Slut-shaming,Slutshaming euskaraz emagaldu deitzea ingelesezko neologismo bat da ortodoxoak ez diren edo tradizionalen edo erlijiosoen kontrakotzat har daitezkeen sexuportaera edo desirak aipatuz emakume bat erruduntzat jotzeko ekintza deskribatzeko erabiltzen denaEmakumeak emagaldu edo prostitutatzat jotzen dituzten portaeren adibide batzuk honako hauek dira jantzikode jakin batzuk urratzea pole dance edo striptease bezalako jarduerak egitea tradizioz maskulinoak izan diren esparruetan hala nola politika iritziak adieraztea kontrazepzio metodoak eskatzea ezkontzatik kanpo sexuharremanak izatea bortxaketaren edo sexujazarpenaren biktima izatea ama ezkongabeak izatea edo dibortziatua izatea Kasu gehienetan aurreiritzi batean oinarritzen da Gizon heterosexualei buruz berriz apenas ez dute erabiltzenFeminismoaren ikuspegitik neologismoari buelta eman dute baita norbere burua slut edo emagaldua deituz harrotasuna adieraziz Adibidez Bilboko Vulpes musika taldeak Iggy and the Stooges taldearen I wanna be your dog abestia bertsionatu zuten Me gusta ser una zorra euskaraz emagaldu izatea gustoko dut letra berria abestuz  Erreferentziak   Kanpo estekak 
31,Hauroth,Hauroth Alemaniako udalerria da RenaniaPalatinatua estatuan kokatuta dago CochemZell barrutian 2014an 299 biztanle zituen 394 kilometro koadrotan banatuta  Demografia  Ikus jatorrizko Wikidatako eskaera eta iturriak  Kanpo estekak  Webgune ofiziala
33,Anjou,Anjou latinez Andegavia Frantziako eskualde historikoa da gaur egun Maine eta Loira departamendua osatzen duena Hiriburua Angers zuen  Historia  Zelta herriek jendeztatua erromatarrek eta frankoek konkistatu zuten hurrenez hurren 880 inguruan konderri bilakatuta X mendean Inperio Karolingioa desegitean burujabetasuna lortu zuen XI eta XII mendeetan zehar Frantziako printzerri nagusienetariko bat izan zen XII mendean Ingalaterrako koroarekiko loturak estutu Godofredo Va Anjoukoa Matilde Ingalaterrako erreginarekin ezkondu zen eta Normandiako dukerria hartu zuen Henrike IIa aurrekoen semea Ingalaterrako errege izendatu zuten eta Ingalaterrako koroak Frantziako mendebaldean eta Euskal Herriko iparraldean Lapurdi eta Zuberoa zuen eragina guztiz bizkortu zen Anjou etxeko kondeen bidez betiere Anjouko bigarren dinastia sortu zuen Karlos Iak lurrak zabaldu zituen Proventza ezkontzaren bidez eta Napoliko Erresumara 1266 1204tik aurrera Frantziako erregeen eragina nabaria da eta 1360an dukerri bilakatu zen 1481ean Frantziako koroari lotu zioten Ondoren hainbat printzek eraman zuten Anjouko duke titulua Henrike IIIak Frantzisko Anjoukoak eta Filipe Va Espainiakoak besteren artean 1790ean Frantziako Iraultzak departamenduak sortu zituenean desagertu zen  Ikusi ere  Monstoreauko jauregia Montsoreau  Erreferentziak   Kanpo estekak 
34,Longeville-sur-la-Laines,LongevillesurlaLaines Frantziako udalerria da Marne Garaia departamenduan dagoena Ekialde Handia eskualdean 2013an 436 biztanle zituen  Demografia   Biztanleria  2007an LongevillesurlaLaines udalerrian erroldatutako biztanleak 436 ziren Familiak 171 ziren horien artean 38 pertsona bakarrekoak ziren 23 bakarrik bizi ziren gizonak eta 15 bakarrik bizi ziren emakumeak 76 semealabarik gabeko familiak ziren eta 57 semealabak dituzten bikoteak ziren Biztanleriak denboran ondorengo grafikoan ageri den bilakaera izan du Ikus jatorrizko Wikidatako eskaera eta iturriak  Etxebizitza  2007an 203 etxebizitza zeuden 173 familiaren etxebizitza nagusia ziren 19 bigarren erresidentzia ziren eta 12 hutsik zeuden 195 etxeak ziren eta 9 apartamentuak ziren 173 etxebizitza nagusietatik 144 bere jabearen bizilekua ziren 24 alokairuan okupaturik zeuden eta 6 doan lagata zeuden 3 etxek bi gela zituzten 11 etxek hiru zituzten 37 etxek lau zituzten eta 122 etxek bost zituzten 123 etxek euren parking plaza propioa zuten azpian 58 etxetan ibilgailu bat zegoen eta 103 etxetan bat baino gehiago zituzten  Biztanleriapiramidea  2009an sexu eta adinaren araberako biztanleriapiramidea hau zen  Ekonomia  2007an lan egiteko adina zuten pertsonak 282 ziren horien artean 218 aktiboak ziren eta 64 inaktiboak ziren 218 pertsona aktiboetatik 191 lanean zeuden 101 gizon eta 90 emakume eta 26 langabezian zeuden 16 gizon eta 10 emakume 64 pertsona inaktiboetatik 29 erretiraturik zeuden 11 ikasten zeuden eta 24 bestelako inaktibo gisa sailkaturik zeuden  Diru sarrerak  2009an LongevillesurlaLaines udalerrian 181 unitate fiskal zeuden 472 pertsonek osaturik Pertsona bakoitzeko dirusarrera fiskalaren mediana urteko 163965 euro zen  Ekonomia jarduerak  2007an zeuden 8 komertzioetatik 1 erauzte enpresa zen 1 janari enpresa zen 4 eraikuntza enpresak ziren 1 ibilgailuen saltze eta konpontze enpresa zen eta 1 ostalaritza eta jatetxe enpresa zen2009an zeuden norbanakoentzako 3 zerbitzu publikoetatik 1 ibilgailuen konpontzeko eta nekazaritza tresnetako lantokia zen eta 2 igeltseroak2009an zegoen establezimendu komertzial bakarra okindegi bat zen2000 urtean LongevillesurlaLaines udalerrian 12 nekazaritzaustiategi zeuden  Hezkuntza eta osasun ekipamenduak  2009an inguruko herriekin osatutako barreiatutako lehenhezkuntzako eskola bat zegoen  Gertuen dauden herriak  Diagrama honek gertuen dauden herriak erakusten ditu  Erreferentziak   Kanpo estekak  FrantsesezRésumé statistique INSEEren udalerriko estatistiken laburpena FrantsesezÉvolution et structure de la population INSEEren udalerriko datuen fitxa FrantsesezFrance par comune Frantziako udalerri guztietako datu zehatzak mapa baten bitartez eskuragarri
35,Agnieszka Skrzypulec,Agnieszka Skrzypulec Szczecin 1989ko ekainaren 3a Belan lehiatzen den kirolari poloniarra da Hiru Udako Olinpiar Jokotan esku hartu zuen Londres 2012an Londres Rio 2016an Rio de Janeiro domina eta Tokio 2020an Tokio Tokion zilarrezko domina eskuratu zuen Jolanta Ogar lagun zuela 470 proban  Nazioarteko emaitzak   Erreferentziak   Kanpo estekak 
